query_id,subject_id,subject_id_name,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw
Crown_Oz_L149,ENSXETG00000034056|ENSXETG00000034056.3|ENSXETT00000061102;ENSXETT00000079573|ENSXETT00000061102.3;ENSXETT00000079573.2|dync1h1|8|97344441|97408288|97353677|97354753,dync1h1,81.894,882,1077,195,0,0,882,81.89,1,1077,1254,86,86,107,1183,1277,0,1064,1179
Crown_Oz_L129,ENSXETG00000007333|ENSXETG00000007333.5|ENSXETT00000109686;ENSXETT00000015969|ENSXETT00000109686.1;ENSXETT00000015969.5|dyrk2|3|58473561|58479296|58477104|58479296,dyrk2,99.935,1527,1528,1,0,0,1527,99.93,3,1530,1530,99,99,106,1633,2393,0,2752,3051
Crown_Oz_L396,ENSXETG00000022994|ENSXETG00000022994.4|ENSXETT00000049733|ENSXETT00000049733.4|elfn1|9|30107870|30452177|30447192|30451342,elfn1,81.051,1296,1599,297,2,6,1296,81.05,112,1707,1710,93,93,473,2068,4351,0,1517,1681
Crown_Oz_L308,ENSXETG00000016016|ENSXETG00000016016.5|ENSXETT00000034939|ENSXETT00000034939.5|elfn2|4|122945841|122995703|122983839|122989696,elfn2,71.182,1030,1447,319,24,98,1030,71.18,136,1497,1506,90,90,494,1927,6058,0,719,796
Crown_Oz_L183,ENSXETG00000001613|ENSXETG00000001613.5|ENSXETT00000003398;ENSXETT00000122408|ENSXETT00000003398.5;ENSXETT00000122408.1|emilin2|6|107140280|107190545|107163134|107165032,emilin2,66.964,600,896,245,17,51,600,66.96,53,915,915,94,94,164,1041,2099,1.81E-65,252,279
Crown_Oz_L336,ENSXETG00000038952|ENSXETG00000038952.2|ENSXETT00000093413|ENSXETT00000093413.2|emilin3|10|39567264|39580527|39575771|39580527,emilin3,68.476,858,1253,346,17,49,858,68.48,46,1266,1266,96,96,550,1785,4957,1.39E-125,452,500
Crown_Oz_L219,ENSXETG00000018550|ENSXETG00000018550.5|ENSXETT00000060496;ENSXETT00000070384|ENSXETT00000060496.3;ENSXETT00000070384.2|enah|5|8477544|8536383|8525525|8526304,enah,71.851,656,913,164,22,93,656,71.85,26,879,930,92,92,4,882,980,7.29E-134,480,531
Crown_Oz_L335,ENSXETG00000012599|ENSXETG00000012599.5|ENSXETT00000119478|ENSXETT00000119478.1|evpl|10|44934315|44969319|44934315|44937997,evpl,73.298,1109,1513,336,22,68,1109,73.3,25,1489,1494,98,98,1160,2652,3883,0,882,977
Crown_Oz_L75,ENSXETG00000005660|ENSXETG00000005660.4|ENSXETT00000112331|ENSXETT00000112331.1|fam110b|6|116186142|116287384|116283494|116287384,fam110b,81.188,1148,1414,241,8,25,1148,81.19,1,1397,1404,99,99,136,1541,4091,0,1342,1487
Crown_Oz_L93,ENSXETG00000020280|ENSXETG00000020280.5|ENSXETT00000043743;ENSXETT00000070354|ENSXETT00000043743.5;ENSXETT00000070354.2|fam171a1|6|29619587|29689699|29684767|29689699,fam171a1,73.638,1162,1578,279,28,137,1162,73.64,14,1467,1476,99,99,128,1692,5133,0,981,1087
Crown_Oz_L203,ENSXETG00000039310|ENSXETG00000039310.2|ENSXETT00000076103|ENSXETT00000076103.2|fam217b|10|3509607|3522595|3521338|3522595,fam217b,65.758,217,330,102,7,11,217,65.76,136,461,642,51,51,372,694,1458,3.59E-09,65.3,71
Crown_Oz_L444,ENSXETG00000046857|ENSXETG00000046857.1|ENSXETT00000112599|ENSXETT00000112599.1|fastkd5|1|12490244|12514358|12502147|12505441,fastkd5,67.086,640,954,275,21,39,640,67.09,120,1056,1275,73,73,2062,1131,3495,5.96E-67,257,284
Crown_Oz_L289,ENSXETG00000017135|ENSXETG00000017135.6|ENSXETT00000037350;ENSXETT00000077412;ENSXETT00000085249;ENSXETT00000072968;ENSXETT00000076177;ENSXETT00000071474;ENSXETT00000092883;ENSXETT00000066523|ENSXETT00000037350.5;ENSXETT00000077412.2;ENSXETT00000085249.2;ENSXETT00000072968.2;ENSXETT00000076177.2;ENSXETT00000071474.2;ENSXETT00000092883.2;ENSXETT00000066523.2|fat1|1|43542516|43679756|43643419|43647486,fat1,78.125,525,672,125,11,22,525,78.12,3,666,708,94,94,1710,2367,4268,1.47E-147,524,580
Crown_Oz_L340,ENSXETG00000017135|ENSXETG00000017135.6|ENSXETT00000077412;ENSXETT00000085249;ENSXETT00000072968;ENSXETT00000076177;ENSXETT00000071474;ENSXETT00000066523|ENSXETT00000077412.2;ENSXETT00000085249.2;ENSXETT00000072968.2;ENSXETT00000076177.2;ENSXETT00000071474.2;ENSXETT00000066523.2|fat1|1|43542516|43679756|43580276|43583567,fat1,76.01,602,792,184,3,6,602,76.01,7,798,798,99,99,2273,3058,3492,1.56E-160,568,629
Crown_Oz_L41,ENSXETG00000039824|ENSXETG00000039824.2|ENSXETT00000101665;ENSXETT00000093280|ENSXETT00000101665.2;ENSXETT00000093280.2|fat2|3|17066139|17163322|17125404|17129447,fat2,95.389,1055,1106,5,14,46,1055,95.39,1,1071,1074,99,99,2206,3300,4244,0,1746,1936
Crown_Oz_L288,ENSXETG00000017133|ENSXETG00000017133.5|ENSXETT00000083957;ENSXETT00000094566;ENSXETT00000037343;ENSXETT00000073431|ENSXETT00000083957.2;ENSXETT00000094566.2;ENSXETT00000037343.4;ENSXETT00000073431.2|fat3|2|166325604|166738927|166407312|166411385,fat3,100,1650,1650,0,0,0,1650,100,1,1650,1653,99,99,1408,3057,4274,0,2976,3300
Crown_Oz_L24,ENSXETG00000036341|ENSXETG00000036341.2|ENSXETT00000075383|ENSXETT00000075383.2|fat4|1|65013515|65176489|65170459|65176489,fat4,85.316,1685,1975,285,4,5,1685,85.32,19,1992,1995,99,99,1095,3065,6231,0,2241,2485
Crown_Oz_L25,ENSXETG00000036341|ENSXETG00000036341.2|ENSXETT00000075383|ENSXETT00000075383.2|fat4|1|65013515|65176489|65033992|65038341,fat4,78.766,1391,1766,375,0,0,1391,78.77,4,1769,1782,99,99,1837,3602,4550,0,1495,1657
Crown_Oz_L255,ENSXETG00000036341|ENSXETG00000036341.2|ENSXETT00000075383|ENSXETT00000075383.2|fat4|1|65013515|65176489|65059787|65060709,fat4,76.19,688,903,215,0,0,688,76.19,1,903,903,100,100,103,1005,1123,0,661,732
Crown_Oz_L55,ENSXETG00000018433|ENSXETG00000018433.5|ENSXETT00000113467;ENSXETT00000039945|ENSXETT00000113467.1;ENSXETT00000039945.4|fbxo30|5|41916422|41945263|41937942|41940057,fbxo30,75.456,704,933,149,18,80,704,75.46,395,1263,1266,79,69,1300,2216,2316,0,650,720
Crown_Oz_L235,ENSXETG00000013165|ENSXETG00000013165.6|ENSXETT00000104538|ENSXETT00000104538.2|fign|9|71206799|71345599|71341771|71345599,fign,79.431,1340,1687,264,23,83,1340,79.43,19,1650,1650,99,99,97,1755,4029,0,1462,1621
Crown_Oz_L197,ENSXETG00000008706|ENSXETG00000008706.5|ENSXETT00000115954;ENSXETT00000112939|ENSXETT00000115954.1;ENSXETT00000112939.1|flrt3|5|28480003|28499543|28480003|28489110,flrt3,79.073,1160,1467,254,14,53,1160,79.07,1,1424,1446,98,98,135,1591,9308,0,1251,1387
Crown_Oz_L355,ENSXETG00000019549|ENSXETG00000019549.5|ENSXETT00000042292|ENSXETT00000042292.5|foxj1|10|45078516|45084620|45078516|45080477,foxj1,75.422,626,830,170,13,34,626,75.42,181,989,1050,77,77,914,98,2162,1.31E-156,555,615
Crown_Oz_L135,ENSXETG00000015989|ENSXETG00000015989.5|ENSXETT00000034913|ENSXETT00000034913.5|frem2|2|150865972|150984678|150979325|150984417,frem2,99.753,1613,1617,4,0,0,1613,99.75,1,1617,1617,100,100,1140,2756,5293,0,2901,3216
Crown_Oz_L136,ENSXETG00000017590|ENSXETG00000017590.5|ENSXETT00000074178;ENSXETT00000093523|ENSXETT00000074178.2;ENSXETT00000093523.2|frem3|1|59171011|59220115|59171011|59176200,frem3,98.991,1570,1586,13,1,3,1570,98.99,2,1584,1587,99,99,1226,2811,5390,0,2787,3090
Crown_Oz_L370,ENSXETG00000008840|ENSXETG00000008840.5|ENSXETT00000019419|ENSXETT00000019419.5|fzd2|10|14863143|14870891|14868415|14870891,fzd2,81.791,557,681,122,2,2,557,81.79,2,681,687,99,99,2194,1515,2677,0,665,737
Crown_Oz_L117,ENSXETG00000034910|ENSXETG00000034910.2|ENSXETT00000092652|ENSXETT00000092652.2|fzd4|2|168414312|168424986|168421479|168424986,fzd4,96.027,1281,1334,6,19,47,1281,96.03,2,1296,1299,99,99,101,1426,3708,0,2128,2359
Crown_Oz_L406,ENSXETG00000012404|ENSXETG00000012404.5|ENSXETT00000027115|ENSXETT00000027115.5|fzd7|9|52207775|52217881|52207775|52217881,fzd7,99.858,701,702,1,0,0,701,99.86,1,702,705,99,99,3189,3890,10307,0,1262,1399
Crown_Oz_L435,ENSXETG00000041883|ENSXETG00000041883.1|ENSXETT00000114529|ENSXETT00000114529.1|fzd8|6|21481367|21487002|21481367|21487002,fzd8,96.618,600,621,3,5,18,600,96.62,1,606,609,99,99,3160,3777,5836,0,1021,1132
Crown_Oz_L414,ENSXETG00000000760|ENSXETG00000000760.4|ENSXETT00000001674|ENSXETT00000001674.4|gcnt1|1|131972603|131980898|131977312|131980898,gcnt1,100,518,518,0,0,0,518,100,2,519,522,99,99,552,1069,3787,0,935,1036
Crown_Oz_L413,ENSXETG00000017715|ENSXETG00000017715.5|ENSXETT00000038428|ENSXETT00000038428.5|gcnt3|3|96485141|96486472|96485141|96486472,gcnt3,69.182,651,941,279,3,11,651,69.18,121,1051,1161,80,80,458,1397,1532,4.45E-106,387,428
Crown_Oz_L32,ENSXETG00000005081|ENSXETG00000005081.5|ENSXETT00000108346|ENSXETT00000108346.1|gcnt4|1|184121862|184149197|184121862|184130083,gcnt4,67.582,640,947,233,29,74,640,67.58,146,1037,1038,86,86,451,1378,8422,2.68E-70,268,296
Crown_Oz_L15,ENSXETG00000023610|ENSXETG00000023610.5|ENSXETT00000050945|ENSXETT00000050945.5|ghsr|5|111049967|111060371|111049967|111051202,ghsr,95.887,676,705,2,3,27,676,95.89,4,681,681,99,99,628,1332,1436,0,1153,1278
Crown_Oz_L226,ENSXETG00000026789|ENSXETG00000026789.3|ENSXETT00000056254|ENSXETT00000056254.3|gja4|2|89194653|89200400|89198351|89200400,gja4,76.748,439,572,130,1,3,439,76.75,32,603,615,93,93,120,688,2250,6.17E-120,433,479
Crown_Oz_L427,ENSXETG00000045198|ENSXETG00000045198.1|ENSXETT00000106339;ENSXETT00000123872;ENSXETT00000123471;ENSXETT00000105546|ENSXETT00000106339.1;ENSXETT00000123872.1;ENSXETT00000123471.1;ENSXETT00000105546.1|gja5|2|8164265|8225289|8220478|8225289,gja5,76.744,396,516,117,1,3,396,76.74,46,561,564,91,91,125,637,5012,6.04E-107,389,430
Crown_Oz_L62,ENSXETG00000001856|ENSXETG00000001856.5|ENSXETT00000105972;ENSXETT00000003920|ENSXETT00000105972.1;ENSXETT00000003920.5|gli3|6|57560778|57692896|57689639|57692896,gli3,69.302,824,1189,226,29,139,824,69.3,4,1082,1230,88,88,93,1252,3458,6.99E-142,507,561
Crown_Oz_L297,ENSXETG00000042585|ENSXETG00000042585.1|ENSXETT00000105639|ENSXETT00000105639.1|gpr185a|2|155643098|155662172|155643846|155662172,gpr185a,77,693,900,162,10,45,693,77,61,918,990,87,87,146,1042,18527,0,688,762
Crown_Oz_L402,ENSXETG00000045500|ENSXETG00000045500.1|ENSXETT00000116220|ENSXETT00000116220.1|gpr21|8|30629406|30637170|30629406|30635446,gpr21,78.029,483,619,129,3,7,483,78.03,497,1112,1116,55,55,327,941,6241,3.28E-139,497,550
Crown_Oz_L417,ENSXETG00000041822|ENSXETG00000041822.1|ENSXETT00000122742|ENSXETT00000122742.1|gpr52|4|97872717|97881160|97872717|97879254,gpr52,78,468,600,130,1,2,468,78,136,735,738,81,81,329,926,6738,1.11E-136,489,541
Crown_Oz_L147,ENSXETG00000015795|ENSXETG00000015795.5|ENSXETT00000034427|ENSXETT00000034427.5|gpr68|8|87011239|87019769|87011375|87012579,gpr68,72.998,638,874,196,8,40,638,73,18,853,882,95,95,230,1101,1405,7.87E-146,518,574
Crown_Oz_L228,ENSXETG00000045730|ENSXETG00000045730.1|ENSXETT00000114061|ENSXETT00000114061.1|gpr75|5|23621013|23628002|23621013|23626148,gpr75,77.712,1182,1521,256,21,83,1182,77.71,70,1517,1575,92,92,333,1843,5336,0,1205,1335
Crown_Oz_L11,ENSXETG00000033360|ENSXETG00000033360.3|ENSXETT00000044552|ENSXETT00000044552.5|gpr87|5|118043064|118070447|118053868|118054965,gpr87,69.795,647,927,202,15,78,647,69.8,20,875,879,97,97,178,1097,1298,1.62E-116,421,466
Crown_Oz_L124,ENSXETG00000030602|ENSXETG00000030602.3|ENSXETT00000084144|ENSXETT00000084144.2|grin2b|4|114155718|114421577|114155718|114159029,grin2b,81.277,1337,1645,245,18,63,1337,81.28,2,1601,1611,99,99,99,1725,3512,0,1563,1732
Crown_Oz_L89,ENSXETG00000029920|ENSXETG00000029920.3|ENSXETT00000020215;ENSXETT00000116553|ENSXETT00000020215.5;ENSXETT00000116553.1|grin3a|1|116767644|116950639|116859731|116860778,grin3a,79.792,845,1059,171,13,43,845,79.79,1,1028,1041,99,99,102,1148,1248,0,934,1035
Crown_Oz_L58,ENSXETG00000007892|ENSXETG00000007892.5|ENSXETT00000017310|ENSXETT00000017310.5|grm1|5|49424176|49603101|49438921|49439851,grm1,100,928,928,0,0,0,928,100,3,930,930,99,99,99,1026,1131,0,1674,1856
Crown_Oz_L118,ENSXETG00000011740|ENSXETG00000011740.5|ENSXETT00000078215|ENSXETT00000078215.2|grm5|2|167828928|167999389|167997609|167999001,grm5,79.469,658,828,151,6,19,658,79.47,1,818,1197,68,68,105,923,1593,0,720,798
Crown_Oz_L57,ENSXETG00000011740|ENSXETG00000011740.5|ENSXETT00000067984;ENSXETT00000078215|ENSXETT00000067984.2;ENSXETT00000078215.2|grm5|2|167828928|167999389|167985352|167986291,grm5,100,732,732,0,0,0,732,100,1,732,732,100,100,307,1038,1140,0,1321,1464
Crown_Oz_L358,ENSXETG00000023714|ENSXETG00000023714.5|ENSXETT00000057738;ENSXETT00000120889|ENSXETT00000057738.4;ENSXETT00000120889.1|helz2|10|913809|966585|940557|943956,helz2,75.543,139,184,44,1,1,139,75.54,937,1120,1209,51,15,1436,1254,3600,2.41E-27,126,139
Crown_Oz_L46,ENSXETG00000015441|ENSXETG00000015441.5|ENSXETT00000033708;ENSXETT00000115821;ENSXETT00000120213|ENSXETT00000033708.5;ENSXETT00000115821.1;ENSXETT00000120213.1|hivep1|6|91067365|91206762|91173642|91179310,hivep1,76.516,896,1171,260,7,15,896,76.52,37,1198,1212,96,96,1807,2971,5869,0,855,947
Crown_Oz_L264,ENSXETG00000023284|ENSXETG00000023284.5|ENSXETT00000050306|ENSXETT00000050306.5|hivep2|5|65007410|65199575|65179927|65185228,hivep2,73.124,1140,1559,300,40,119,1140,73.12,3,1500,1503,99,99,635,2135,5502,0,855,947
Crown_Oz_L265,ENSXETG00000035857|ENSXETG00000035857.2|ENSXETT00000083934|ENSXETT00000083934.2|hivep3|2|78967040|79047171|78988155|78993349,hivep3,73.158,864,1181,264,20,53,864,73.16,1,1167,1170,99,99,710,1851,5395,0,665,737
Crown_Oz_L50,ENSXETG00000038202|ENSXETG00000038202.2|ENSXETT00000120317|ENSXETT00000120317.1|htr1e|5|87128109|87181961|87128109|87129814,htr1e,80.283,851,1060,205,4,4,851,80.28,39,1095,1098,96,96,251,1309,1906,0,956,1059
Crown_Oz_L12,ENSXETG00000020624|ENSXETG00000020624.5|ENSXETT00000044578|ENSXETT00000044578.4|igsf10|5|117915503|117943869|117941717|117943869,igsf10,90.737,1342,1479,17,25,120,1342,90.74,1,1368,1371,99,99,99,1568,2353,0,2054,2277
Crown_Oz_L123,ENSXETG00000008342|ENSXETG00000008342.5|ENSXETT00000077230|ENSXETT00000077230.2|igsf9b|7|67721509|67804059|67779977|67782477,igsf9b,94.644,1396,1475,8,15,71,1396,94.64,2,1413,1416,99,99,130,1596,2701,0,2305,2555
Crown_Oz_L399,ENSXETG00000009478|ENSXETG00000009478.5|ENSXETT00000020906|ENSXETT00000020906.5|ina|7|28652446|28663170|28659121|28660500,ina,98.711,536,543,3,2,4,536,98.71,1,543,543,100,100,531,1069,1580,0,944,1046
Crown_Oz_L244,ENSXETG00000045628|ENSXETG00000045628.1|ENSXETT00000111757;ENSXETT00000120649;ENSXETT00000119592;ENSXETT00000113706;ENSXETT00000108648;ENSXETT00000106822;ENSXETT00000121337|ENSXETT00000111757.1;ENSXETT00000120649.1;ENSXETT00000119592.1;ENSXETT00000113706.1;ENSXETT00000108648.1;ENSXETT00000106822.1;ENSXETT00000121337.1|iqsec1|4|151443327|151555911|151529823|151531075,iqsec1,73.13,909,1243,278,18,56,909,73.13,1,1200,1200,100,100,107,1336,1453,0,714,791
Crown_Oz_L325,ENSXETG00000007177|ENSXETG00000007177.5|ENSXETT00000085363;ENSXETT00000100370|ENSXETT00000085363.2;ENSXETT00000100370.2|iqsec2|8|26124658|26163653|26137325|26138205,iqsec2,81.395,630,774,130,9,14,630,81.4,3,771,774,99,99,218,982,1081,0,719,797
Crown_Oz_L380,ENSXETG00000020086|ENSXETG00000020086.5|ENSXETT00000069206|ENSXETT00000069206.2|irs1|5|118796574|118834077|118796845|118800996,irs1,97.186,1416,1457,2,20,39,1416,97.19,1,1443,1446,99,99,1159,2590,4352,0,2389,2649
Crown_Oz_L381,ENSXETG00000045684|ENSXETG00000045684.1|ENSXETT00000107157|ENSXETT00000107157.1|IRS2|2|117558673|117581007|117558673|117564907,IRS2,76.605,537,701,138,9,26,537,76.6,3,689,693,99,99,3755,4443,6435,9.09E-144,512,567
Crown_Oz_L102,ENSXETG00000007684|ENSXETG00000007684.5|ENSXETT00000118478;ENSXETT00000107885;ENSXETT00000119335;ENSXETT00000097784;ENSXETT00000078258;ENSXETT00000016739|ENSXETT00000118478.1;ENSXETT00000107885.1;ENSXETT00000119335.1;ENSXETT00000097784.2;ENSXETT00000078258.2;ENSXETT00000016739.5|jmjd1c|7|18047721|18235409|18070640|18072300,jmjd1c,74.759,1087,1454,306,21,61,1087,74.76,1,1425,1428,99,99,313,1734,1861,0,943,1045
Crown_Oz_L30,ENSXETG00000046489|ENSXETG00000046489.1|ENSXETT00000106633|ENSXETT00000106633.1|jun|4|86739785|86743301|86740286|86743301,jun,72.95,685,939,197,17,57,685,72.95,1,894,894,100,100,174,1100,3216,1.54E-148,528,585
Crown_Oz_L274,ENSXETG00000002278|ENSXETG00000002278.5|ENSXETT00000120052;ENSXETT00000004865;ENSXETT00000108475|ENSXETT00000120052.1;ENSXETT00000004865.5;ENSXETT00000108475.1|kank1|1|128762066|128879526|128783206|128785857,kank1,76.299,1101,1443,325,12,17,1101,76.3,49,1484,1695,85,85,154,1586,2852,0,1025,1136
Crown_Oz_L105,ENSXETG00000047168|ENSXETG00000047168.1|ENSXETT00000107941|ENSXETT00000107941.1|kat6a|3|130471342|130506080|130502739|130503547,kat6a,72.5,174,240,64,2,2,174,72.5,169,407,792,30,30,313,551,1009,1.28E-28,129,142
Crown_Oz_L106,ENSXETG00000047168|ENSXETG00000047168.1|ENSXETT00000107941|ENSXETT00000107941.1|kat6a|3|130471342|130506080|130471440|130476777,kat6a,84.413,964,1142,157,7,21,964,84.41,1,1125,1125,100,100,1600,2737,5538,0,1249,1384
Crown_Oz_L8,ENSXETG00000031782|ENSXETG00000031782.3|ENSXETT00000064205;ENSXETT00000123109|ENSXETT00000064205.3;ENSXETT00000123109.1|kbtbd12|4|134884310|134923053|134886499|134887666,kbtbd12,82.456,846,1026,178,2,2,846,82.46,14,1038,1041,98,98,221,1245,1368,0,1032,1144
Crown_Oz_L159,ENSXETG00000006653|ENSXETG00000006653.6|ENSXETT00000014574|ENSXETT00000014574.6|kbtbd13|3|116286595|116312719|116286595|116288358,kbtbd13,72.872,959,1316,345,8,12,959,72.87,37,1346,1365,96,96,381,1690,1964,0,739,819
Crown_Oz_L115,ENSXETG00000027467|ENSXETG00000027467.4|ENSXETT00000123711|ENSXETT00000123711.1|kbtbd4|4|16106039|16118938|16114248|16118938,kbtbd4,91.325,779,853,7,12,67,779,91.32,3,792,792,99,99,107,955,4891,0,1214,1345
Crown_Oz_L108,ENSXETG00000044348|ENSXETG00000044348.1|ENSXETT00000114846|ENSXETT00000114846.1|kcna2|2|52550674|52564823|52554921|52564823,kcna2,81.435,1430,1756,243,27,83,1430,81.44,64,1759,1764,96,96,91,1823,10103,0,1656,1836
Crown_Oz_L282,ENSXETG00000017753|ENSXETG00000017753.3|ENSXETT00000038514|ENSXETT00000038514.3|kcna3|2|52495625|52520418|52495625|52499152,kcna3,83.002,1211,1459,236,6,12,1211,83,1,1459,1512,100,96,780,2226,3728,0,1500,1663
Crown_Oz_L407,ENSXETG00000036788|ENSXETG00000036788.2|ENSXETT00000069691|ENSXETT00000069691.2|kcna4|4|19907647|20038711|19914099|19919210,kcna4,79.098,1105,1397,251,6,41,1105,79.1,3,1359,1362,99,99,1167,2562,5312,0,1218,1350
Crown_Oz_L301,ENSXETG00000023771|ENSXETG00000023771.5|ENSXETT00000120192;ENSXETT00000051270|ENSXETT00000120192.1;ENSXETT00000051270.5|kcnd1|8|304020|351495|335994|337620,kcnd1,81.183,755,930,166,4,9,755,81.18,1,930,1038,90,90,799,1719,1827,0,882,977
Crown_Oz_L302,ENSXETG00000033363|ENSXETG00000033363.3|ENSXETT00000060887|ENSXETT00000060887.3|kcnd2|3|69068919|69239674|69068919|69070491,kcnd2,76.622,862,1125,218,7,45,862,76.62,60,1147,1227,89,89,559,1675,1773,0,856,948
Crown_Oz_L299,ENSXETG00000013577|ENSXETG00000013577.5|ENSXETT00000029746;ENSXETT00000063787|ENSXETT00000029746.5;ENSXETT00000063787.3|kcnd3|2|59598805|59824210|59810663|59811835,kcnd3,85.678,999,1166,147,4,20,999,85.68,11,1158,1158,99,99,115,1278,1373,0,1355,1502
Crown_Oz_L224,ENSXETG00000003508|ENSXETG00000003508.5|ENSXETT00000007579|ENSXETT00000007579.5|KCNF1|5|138636838|138639643|138636838|138638923,KCNF1,99.351,1378,1387,0,2,9,1378,99.35,2,1379,1416,97,97,900,2286,2286,0,2461,2728
Crown_Oz_L207,ENSXETG00000019842|ENSXETG00000019842.4|ENSXETT00000042946|ENSXETT00000042946.4|kcnj10|8|146740953|146777683|146775768|146777683,kcnj10,81.692,821,1005,182,1,2,821,81.69,1,1005,1008,99,99,100,1102,2116,0,984,1090
Crown_Oz_L379,ENSXETG00000023556|ENSXETG00000023556.3|ENSXETT00000114498;ENSXETT00000119097|ENSXETT00000114498.1;ENSXETT00000119097.1|kcnj15|2|12253813|12290348|12255076|12257668,kcnj15,99.722,1078,1081,0,1,3,1078,99.72,3,1080,1083,99,99,128,1208,2793,0,1935,2145
Crown_Oz_L178,ENSXETG00000042973|ENSXETG00000042973.1|ENSXETT00000117563|ENSXETT00000117563.1|kcnj2|10|29504685|29521844|29514781|29521844,kcnj2,100,1206,1206,0,0,0,1206,100,1,1206,1206,100,100,389,1594,7264,0,2176,2412
Crown_Oz_L313,ENSXETG00000015573|ENSXETG00000015573.5|ENSXETT00000117802|ENSXETT00000117802.1|kcns3|5|141986358|142056336|142050967|142056336,kcns3,80.634,1120,1389,265,2,4,1120,80.63,34,1418,1419,98,98,141,1529,5570,0,1287,1427
Crown_Oz_L85,ENSXETG00000011708|ENSXETG00000011708.5|ENSXETT00000025601|ENSXETT00000025601.5|kcnv2|1|128042369|128050065|128048594|128050065,kcnv2,99.813,1067,1069,0,2,2,1067,99.81,1,1068,1068,100,100,502,1569,1672,0,1912,2120
Crown_Oz_L186,ENSXETG00000016868|ENSXETG00000016868.5|ENSXETT00000112427;ENSXETT00000100605;ENSXETT00000057424;ENSXETT00000120836|ENSXETT00000112427.1;ENSXETT00000100605.2;ENSXETT00000057424.4;ENSXETT00000120836.1|kctd15|4|67883047|68255652|67996231|67999208,kctd15,93.949,916,975,3,16,56,916,93.95,1,930,933,99,99,254,1217,3178,0,1471,1631
Crown_Oz_L17,ENSXETG00000022909|ENSXETG00000022909.5|ENSXETT00000123032;ENSXETT00000116870;ENSXETT00000049531;ENSXETT00000107801;ENSXETT00000118399;ENSXETT00000105332;ENSXETT00000119413|ENSXETT00000123032.1;ENSXETT00000116870.1;ENSXETT00000049531.5;ENSXETT00000107801.1;ENSXETT00000118399.1;ENSXETT00000105332.1;ENSXETT00000119413.1|kiaa0232|1|24392844|24456716|24446762|24449960,kiaa0232,74.78,1272,1701,376,18,53,1272,74.78,1,1658,1668,99,99,813,2503,3399,0,1107,1227
Crown_Oz_L94,ENSXETG00000005906|ENSXETG00000005906.5|ENSXETT00000075037;ENSXETT00000066863;ENSXETT00000077130;ENSXETT00000069400;ENSXETT00000103457;ENSXETT00000102393;ENSXETT00000091256;ENSXETT00000088771|ENSXETT00000075037.2;ENSXETT00000066863.2;ENSXETT00000077130.2;ENSXETT00000069400.2;ENSXETT00000103457.2;ENSXETT00000102393.2;ENSXETT00000091256.2;ENSXETT00000088771.2|kiaa1217|6|25938871|26305015|25969605|25970434,kiaa1217,75.188,600,798,195,1,3,600,75.19,2,799,816,98,98,105,899,1030,5.22E-154,545,604
Crown_Oz_L432,ENSXETG00000000574|ENSXETG00000000574.5|ENSXETT00000001257|ENSXETT00000001257.5|kiaa2026|1|126863446|126883573|126881026|126883573,kiaa2026,65.457,415,634,171,17,48,415,65.46,383,991,1083,56,56,2198,1588,2748,1.77E-28,130,143
Crown_Oz_L137,ENSXETG00000022163|ENSXETG00000022163.5|ENSXETT00000071294|ENSXETT00000071294.2|kif1b|7|63706390|63965196|63798850|63800515,kif1b,73.315,1066,1454,317,20,71,1066,73.31,15,1409,1419,98,98,68,1509,1866,0,855,947
Crown_Oz_L310,ENSXETG00000017385|ENSXETG00000017385.5|ENSXETT00000095126;ENSXETT00000082853|ENSXETT00000095126.2;ENSXETT00000082853.2|kif1c|3|151245530|151274325|151270898|151271491,kif1c,97.623,534,547,5,3,8,534,97.62,2,541,573,94,94,93,638,794,0,922,1022
Crown_Oz_L150,ENSXETG00000023080|ENSXETG00000023080.5|ENSXETT00000094616;ENSXETT00000049917|ENSXETT00000094616.2;ENSXETT00000049917.5|kif26a|8|98910408|98998796|98989641|98992854,kif26a,71.939,1087,1511,365,13,59,1087,71.94,2,1472,1476,99,99,153,1644,3414,0,810,897
Crown_Oz_L222,ENSXETG00000029968|ENSXETG00000029968.3|ENSXETT00000093606;ENSXETT00000095416|ENSXETT00000093606.2;ENSXETT00000095416.2|kif26b|5|51804760|51975348|51816170|51819539,kif26b,77.687,947,1219,239,14,33,947,77.69,2,1203,1206,99,99,107,1309,3570,0,940,1042
Crown_Oz_L300,ENSXETG00000004715|ENSXETG00000004715.5|ENSXETT00000010233|ENSXETT00000010233.5|klf5|2|127148225|127161503|127157813|127158707,klf5,99.632,812,815,0,1,3,812,99.63,22,833,837,97,97,182,996,1095,0,1455,1613
Crown_Oz_L173,ENSXETG00000042941|ENSXETG00000042941.1|ENSXETT00000113953|ENSXETT00000113953.1|klhl11|10|7279488|7290303|7282352|7290303,klhl11,72.052,1106,1535,330,26,99,1106,72.05,1,1451,1494,97,97,120,1639,8152,0,819,907
